timestamp,UTC time,question id,survey id,question type,question text,question answer options,answer,event
1570374166712,2019-10-06T15:02:46.712,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an ho,changed
1570374166896,2019-10-06T15:02:46.896,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hou,changed
1570374167165,2019-10-06T15:02:47.165,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour,changed
1570374167264,2019-10-06T15:02:47.264,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour ,changed
1570374168095,2019-10-06T15:02:48.095,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour j,changed
1570374168313,2019-10-06T15:02:48.313,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour ju,changed
1570374168426,2019-10-06T15:02:48.426,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour jus,changed
1570374168597,2019-10-06T15:02:48.597,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just,changed
1570374168683,2019-10-06T15:02:48.683,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just ,changed
1570374168984,2019-10-06T15:02:48.984,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just t,changed
1570374169042,2019-10-06T15:02:49.042,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to,changed
1570374169356,2019-10-06T15:02:49.356,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to ,changed
1570374169492,2019-10-06T15:02:49.492,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to g,changed
1570374169727,2019-10-06T15:02:49.727,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to ge,changed
1570374169933,2019-10-06T15:02:49.933,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get,changed
1570374169997,2019-10-06T15:02:49.997,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get ,changed
1570374170345,2019-10-06T15:02:50.345,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get t,changed
1570374170645,2019-10-06T15:02:50.645,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to,changed
1570374170906,2019-10-06T15:02:50.906,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to ,changed
1570374171026,2019-10-06T15:02:51.026,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to t,changed
1570374171161,2019-10-06T15:02:51.161,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to th,changed
1570374171275,2019-10-06T15:02:51.275,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to the,changed
